id,relation,comment,domain,text
1164,Other,"Comment: Assistance, collaborative work.",Story,A <e1>technician</e1> assists the <e2>fishermen</e2> with this.
1165,"Product-Producer(e1,e2)",Comment: prototypical example,Story,Many publishing houses delayed some of their hottest books to the first of the New Year to remove them from a scrum of <e1>titles</e1> from big-name <e2>authors</e2> that were released last fall.
1166,"Message-Topic(e1,e2)",Comment: A hearing is public and conveys a message.,Politics,"On 17 May 2005, the committee held a <e1>hearing</e1> concerning specific <e2>allegations</e2>."
1167,Other,"Comment: The sentence violates: ""(a) The Message X has descriptive, significative or propositional content and has been produced to communicate this content.""",Technology,We are therefore invited software engineering researchers to apply for research <e1>awards</e1> in all <e2>areas</e2> of software engineering.
1168,"Cause-Effect(e2,e1)",Comment:,Art,The yellow <e1>discolouration</e1> has been caused by the damaging acidic <e2>properties</e2> of the low-grade mount used in the original frame.
1169,Other,Comment:,News,"British <e1>troops</e1> made their deepest <e2>incursion</e2> into Basra yesterday, poking a toe"" within four miles of the centre."""
1170,"Entity-Destination(e1,e2)",Comment:,News,The Sports Medical Committee has passed on the <e1>recommendation</e1> to the FIFA <e2>executive</e2>.
1171,"Entity-Destination(e1,e2)",Comment: prototypical example for E-D,Art,"For this installation, I poured <e1>flour</e1> into nylon <e2>stockings</e2> and created shapes that looked a lot like bodies themselves."
1172,"Instrument-Agency(e2,e1)",Comment:,News,"With the recent invention of plastic core roller covers, the <e1>painter</e1> is able to complete an entire job no matter how large, with their original <e2>roller</e2>."
1173,"Content-Container(e1,e2)",Comment:,News,The man was bluffing because the <e1>bomb</e1> was in a <e2>can</e2> of orange juice that had been served by the airline itself.
1174,"Product-Producer(e1,e2)",Comment: the state was involved in the production.,News,"A state <e1>church</e1> is created by the <e2>state</e2>, as in the cases of the Anglican Church, created by Henry VIII."
1175,"Message-Topic(e2,e1)",Comment:,Education,"Sun <e1>astronomy</e1> is explored in this <e2>book</e2> with large type, full-page color photos, and a word list for young readers."
1176,"Instrument-Agency(e2,e1)",Comment:,Story,A <e1>man</e1> uses a <e2>microphone</e2> as he gives a speech.
1177,"Entity-Origin(e1,e2)",Comment:,Technology,"The <e1>e-mail</e1> was sent from the private <e2>account</e2> of a member from Guarding Our Children Against Marijuana, or GOCAM."
1178,"Message-Topic(e1,e2)",Comment:,Art,The <e1>film</e1> portrays four <e2>girls</e2> in a trend-setting clique at a fictional Ohio high school.
1179,"Member-Collection(e2,e1)",Comment:,Story,"Near Bailli, a <e1>division</e1> of veteran <e2>swordsmen</e2> proved its valor and killed a division of medieval infantry with minimal losses."
1180,"Entity-Origin(e1,e2)",Comment:,Technology,This <e1>material</e1> was produced from a microfilm <e2>copy</e2> of the original document.
1181,"Instrument-Agency(e2,e1)",Comment:,Story,"The <e1>general</e1> reached the city by <e2>train</e2> from Worcester at 6, and was received by a delegation from the military of the city, accompanied by the Brigade Band."
1182,"Product-Producer(e1,e2)",Comment: (a) is satisfied,News,Dominicans have been protesting against the proposed construction of a <e1>cement</e1> <e2>factory</e2> in the protected area of Los Haitises National Park.
1183,"Cause-Effect(e2,e1)",Comment:,News,The <e1>damage</e1> caused by the <e2>tsunami</e2> - at least the physical damage - is barely visible in some places.
1184,"Member-Collection(e2,e1)",Comment: A collective name.,Story,We used the scope to leisurely study the <e1>kaleidoscope</e1> of whirling and nectaring <e2>butterflies</e2>.
1185,"Member-Collection(e1,e2)",Comment:,News,Dr. Brian Howard is a remarkably skilled Atlanta plastic <e1>surgeon</e1> who is part of a select <e2>group</e2> of medical professionals who has certification in plastic surgery.
1186,"Entity-Destination(e1,e2)",Comment:,News,"Last week, the <e1>troops</e1> moved into a dangerous war <e2>zone</e2>."
1187,"Entity-Origin(e2,e1)",Comment:,Story,Homemade <e1>tomato</e1> <e2>soup</e2> is so much better than the shop bought versions.
1188,"Message-Topic(e1,e2)",Comment:,Politics,The following <e1>table</e1> indicates the <e2>party</e2> of elected officials in the U.S. state of California.
1189,"Content-Container(e1,e2)",Comment:,Story,The <e1>Ark</e1> was hidden in a <e2>cave</e2> beneath the Temple Mount in the very heart of Israel.
1190,"Component-Whole(e2,e1)",Comment:,FirstP,I used these techniques to stretch my <e1>ear</e1> <e2>lobes</e2> to accept 6 gauge earrings.
1191,"Instrument-Agency(e2,e1)",Comment:,News,The <e1>examiner</e1> lightly touched the cornea with a hand-held <e2>probe</e2> until a reading was automatically recorded.
1192,Other,Comment:,News,"For Jung, the <e1>individual</e1> is a participant in a '<e2>collective unconscious</e2>'."
1193,"Product-Producer(e2,e1)",Comment: designer is to an extend involved in the hotel,Art,144 of those apartments have been personally designed by Giorgio Armani and the tower also boasts the <e1>designer</e1>'s first <e2>hotel</e2>.
1194,"Entity-Destination(e1,e2)",Comment:,News,Leader Moammar Gadhafi's <e1>son</e1> has been handed over to the Libyan <e2>embassy</e2> in Switzerland.
1195,"Entity-Origin(e1,e2)",Comment:,Story,"The <e1>cabin</e1> was moved from its original <e2>site</e2> near Huxley, Iowa, as a project of the Ames Heritage Association."
1196,"Entity-Destination(e1,e2)",Comment:,FirstP,"After 30 minutes, my <e1>sister</e1> arrived to my <e2>house</e2> for dinner."
1197,"Entity-Origin(e1,e2)",Comment:,FirstP,The above <e1>ticker</e1> was distilled from my daily <e2>posts</e2> to Twitter.
1198,"Product-Producer(e1,e2)","Comment: the message is a creative work (d) satisfied, (a) is also satisfied",News,That ominous <e1>message</e1> from the <e2>chairman</e2> has been followed up this afternoon with the departure of manager Russell Slade.
1199,"Component-Whole(e1,e2)",Comment:,Technology,The medical <e1>team</e1> of the <e2>army</e2> has undertaken a vaccination drive to prevent outbreak of any epidemic.
1200,"Entity-Destination(e1,e2)",Comment:,Story,The chef stirred the chopped <e1>pistachios</e1> into the soaked <e2>fruit</e2>.
1201,"Content-Container(e1,e2)",Comment: the negation is outside,Technology,"There wasn't wireless internet, but a <e1>network cord</e1> was in the <e2>desk</e2>."
1202,"Cause-Effect(e2,e1)",Comment:,Education,The <e1>gaps</e1> in the rings are caused by <e2>resonance</e2> between the particles in the rings and the moons orbiting nearby.
1203,"Component-Whole(e2,e1)",Comment:,Story,The baby <e1>tapir</e1> snorgled its <e2>snout</e2> into the basket full of cuddly baby bunnies.
1204,"Entity-Origin(e1,e2)",Comment:,Story,"The diaspora's <e1>identity</e1> is rooted in an ancient <e2>heritage</e2>, a rich language and literature and a vibrant culture."
1205,"Product-Producer(e2,e1)",Comment: (a) is satisfied,Economic,"Subsidiary sales companies were also located in Canada, Germany, and Italy, and two <e1>factories</e1> were producing <e2>products</e2> in England."
1206,"Product-Producer(e2,e1)",Comment: (a) is satisfied,Story,The <e1>scientist</e1> synthesizes a <e2>copy</e2> of the magical red ball by using a few fragments that were left on the grandfather's hand.
1207,"Component-Whole(e2,e1)",Comment:,Story,This documentary graphic <e1>novel</e1> brings together starkly beautiful black and white <e2>photographs</e2> taken by Lefevre.
1208,"Entity-Origin(e1,e2)",Comment:,Story,His <e1>perspective</e1> was gained from a <e2>knowledge</e2> of history and theology.
1209,"Content-Container(e1,e2)",Comment:,Story,The <e1>drugs</e1> were in a <e2>box</e2>.
1210,"Content-Container(e1,e2)",Comment:,Story,He sent his love a <e1>letter</e1> with <e2>confetti hearts</e2> inside of the letter so they pour out everywhere when his sweetheart opens it.
1211,Other,"Comment: This would be a permit that allows the engineer to do his/her work, probably produced by some bureaucrat. See for example http://www.oiq.qc.ca/practice/permits/eng-permit.html",Story,He followed a specific procedure for obtaining the <e1>engineer</e1>'s <e2>permit</e2> in Quebec and met certain requirements to receive an engineer's permit.
1212,Other,Comment:,Story,The <e1>party</e1> starts in an <e2>hour</e2>.
1213,"Message-Topic(e1,e2)",Comment: controversial could be left out of e2.,News,Fact Magazine was an American <e1>publication</e1> that commented on <e2>controversial topics</e2>.
1214,"Instrument-Agency(e2,e1)",Comment:,Economic,This is how a <e1>politician</e1> uses <e2>tourism</e2> as an instrument for power.
1215,"Component-Whole(e1,e2)",Comment:,FirstP,"In the <e1>hold</e1> of the American <e2>ship</e2>, I was feeling very queasy."
1216,"Entity-Destination(e1,e2)",Comment:,News,The <e1>meeting</e1> was postponed to a <e2>later date</e2>.
1217,"Content-Container(e2,e1)",Comment: prototypical example,Story,The <e1>envelope</e1> contained a <e2>DVD</e2> of her mother.
1218,"Entity-Origin(e1,e2)",Comment:,Biology,Nearly all sensory <e1>information</e1> (except the sense of smell) arrives here from the primary sensory <e2>neurons</e2> before being sent to the cortex.
1219,"Component-Whole(e2,e1)",Comment:,Technology,Almost all of today's <e1>automobiles</e1> have painted plastic <e2>bumpers</e2> because they are easily damaged during parking maneuvers.
1220,"Cause-Effect(e1,e2)",Comment:,Story,"The resulting <e1>conflict</e1> caused the <e2>destruction</e2> of the town, and The Conqueror, Wisecrack, Jackdaw and most of the citizens of the town were transported to a demon-dimension."
1221,Other,Comment: Purpose-Tool,News,They discovered a good bit of published literature about <e1>modification</e1> of yeast with resveratrol-related <e2>genes</e2>.
1222,"Cause-Effect(e1,e2)",Comment:,Story,"As the right front wheel of Senna's car hit the wall, the violent <e1>impact</e1> caused a <e2>torsion</e2> on the steering column, causing it to break."
1223,"Component-Whole(e2,e1)",Comment:,Physic,Magnetic <e1>field</e1> is made of <e2>photons</e2>.
1224,Other,Comment:,Story,The above exceptions fully resolved the evaluation of a <e1>photograph</e1> by a <e2>court</e2> as a result of the claim.
1225,"Component-Whole(e2,e1)",Comment:,News,"A few bare-bodied young lads were standing on the rod of the <e1>tram</e1>'s <e2>wheel</e2>, hanging on to the windows with one hand."
1226,"Message-Topic(e1,e2)",Comment: The allegations are about the massacre.,News,There are <e1>allegations</e1> that the <e2>massacre</e2> was organized.
1227,Other,Comment: speech is not a concrete object,Technology,Scientists have successfully tested a <e1>system</e1> that translates brain waves into <e2>speech</e2>.
1228,"Member-Collection(e2,e1)",Comment: modality is outside,News,"The entire <e1>colony</e1> of nesting <e2>pairs</e2> of Cassin's auklets on California's Farallones Islands, for example, abandoned their nests, most likely because of shortages of krill, their main food."
1229,Other,Comment: the company is not the producer of experts,Economic,The <e1>company</e1> has assembled five independent food safety <e2>experts</e2> to serve on its newly formed Food Safety Advisory Council.
1230,"Cause-Effect(e1,e2)",Comment:,Story,The <e1>weather</e1> resulted in several deaths and hundreds of <e2>accidents</e2>.
1231,"Content-Container(e1,e2)",Comment: prototypical example,Story,In the Western Province the <e1>starch</e1> is stored in woven palm leaf <e2>bundles</e2>.
1232,"Entity-Destination(e1,e2)",Comment:,FirstP,My new <e1>boss</e1> moved into his <e2>office</e2> yesterday.
1233,"Entity-Origin(e2,e1)",Comment:,News,<e1>Orange</e1> <e2>juice</e2> is a popular breakfast beverage made from the extraction (squeezing) of liquid from fresh oranges.
1234,"Entity-Origin(e2,e1)",Comment:,Physic,"<e1>Vegetable</e1> <e2>oil</e2> as fuel is a cleaner, safer and less expensive alternative to petroleum based fuel."
1235,"Instrument-Agency(e1,e2)",Comment:,Technology,A multi-purpose electrician pliers tool is crucial for severing any gauge <e1>wire</e1> with which the <e2>electrician</e2> is working.
1236,Other,Comment:,Story,The <e1>fun run</e1> starts at <e2>noon</e2>.
1237,"Product-Producer(e2,e1)",Comment: province is not actively involved in the production of poppy,FirstP,"Once a major center of opium poppy production in Afghanistan, the <e1>province</e1>'s production of <e2>poppy</e2> had decreased by up to 95% in 2005."
1238,"Component-Whole(e2,e1)",Comment:,Technology,The <e1>clock</e1> has one brass <e2>bar</e2> attached to a chain on each side of the pendulum.
1239,Other,Comment: Purpose-Tool,Story,The site welcomed to the premier industrial <e1>grinding</e1> <e2>wheels</e2> resource.
1240,"Entity-Origin(e1,e2)",Comment: negation is outside,History,A single silver <e1>coin</e1> collected from a Salvation Army red <e2>kettle</e2> near Berlin wasn't just another drop in the bucket.
1241,"Content-Container(e1,e2)",Comment:,News,"One of the robberes opened a red bag and took all the <e1>money</e1> that was in the <e2>desk</e2> and drawers, ordered the workers to lie down on the floor and took a substantial amount of money with them."
1242,"Entity-Destination(e1,e2)",Comment:,News,The <e1>taxi</e1> was dropped into the <e2>river</e2> killing all passengers.
1243,"Product-Producer(e2,e1)",Comment: (a) is satisfied,Art,"In his latest book he chronicles, in great detail and with first-hand knowledge, the <e1>factory</e1>'s output of diesel and diesel electric <e2>locomotives</e2>."
1244,"Entity-Destination(e1,e2)",Comment:,News,A Japanese <e1>ferry</e1> ran into a <e2>whale</e2>.
1245,"Cause-Effect(e1,e2)",Comment:,Education,Sixty five million years ago an <e1>asteroid</e1> caused the <e2>extinction</e2> of the dinosaurs.
1246,Other,Comment: violates c.3,Art,Since this afternoon the <e1>models</e1> have come into somewhat better <e2>agreement</e2>.
1247,"Cause-Effect(e1,e2)",Comment:,News,Amtrak expects a normal rush hour after a fatal <e1>accident</e1> near Baltimore caused <e2>delays</e2> along the Northeast corridor.
1248,"Cause-Effect(e1,e2)",Comment:,Biology,"As we saw earlier, <e1>helicobacter</e1> is responsible for causing stomach <e2>ulcer</e2>."
1249,"Cause-Effect(e2,e1)",Comment:,Biology,"Over 90% of the cases of <e1>ringworm</e1> of the scalp are caused by Trichophyton tonsurans, a <e2>fungus</e2> that infects the hairs and causes them to break."
1250,"Product-Producer(e2,e1)",Comment: we refer to material as songs and the verb improvise means creates; negation is outside,Art,"No material was prepared for the sessions, so the three <e1>musicians</e1> improvised an album's worth of <e2>material</e2>."
1251,Other,"Comment: (d) is not satisfied, vehicles are not containers",Story,"So, while naked, he stole a <e1>car</e1> with <e2>children</e2> inside, dropped one out of the window, and drove it through a fence."
1252,"Cause-Effect(e2,e1)",Comment:,Biology,Many <e1>shoulder problems</e1> are caused by the <e2>breakdown</e2> of soft tissues in the shoulder region.
1253,"Member-Collection(e2,e1)",Comment:,News,"They signed him up and sent him to Dakar, to a <e1>regiment</e1> of Senegalese <e2>infantrymen</e2> that was leaving for Verdun in 1917."
1254,"Component-Whole(e1,e2)",Comment:,Art,Bernanke is featured on the <e1>cover</e1> of the <e2>magazine</e2> that hits stores Friday.
1255,"Cause-Effect(e2,e1)",Comment:,History,"Tulip <e1>mania</e1>, in the 1600s, was caused by the massive <e2>influx</e2> of newly discovered Gold into Amsterdam from the new world: in particular the capture of the Spanish Treasury fleet."
1256,"Message-Topic(e2,e1)",Comment:,Art,<e1>Myth-making</e1> is a major theme of the <e2>exhibition</e2> as witnessed in the massive seven-piece sculpture.
1257,"Component-Whole(e2,e1)",Comment:,Technology,The <e1>clock</e1> has a LCD <e2>display</e2> with the following fields: DayOfWeek Date X Time (offset to utc).
1258,"Instrument-Agency(e1,e2)",Comment:,Technology,The key matches the private <e1>key</e1> that the <e2>sender</e2> used to encrypt it.
1259,"Component-Whole(e2,e1)",Comment:,Story,A polarized <e1>plug</e1> has two <e2>blades</e2> with one wider than the other.
1260,"Product-Producer(e1,e2)",Comment: (a) is satisfied,Art,"So, just to be clear, Sir Gawain and the Green Knight, as we have come to call it, is an untitled <e1>poem</e1> written by an unknown <e2>author</e2> in about 1400."
1261,"Cause-Effect(e2,e1)",Comment:,Story,"Currently, there is no known cure for asbestos cancer but several mesothelioma treatment regimens have proven to be successful in helping the patient avoid <e1>pain</e1> and discomfort caused by the <e2>disease</e2>."
1262,"Content-Container(e1,e2)",Comment: no movement,FirstP,"When I came, the second <e1>group</e1> of popcorn kernels was stored in the <e2>refrigerator</e2>, and the third group was stored in the freezer."
1263,Other,Comment:,Economic,<e1>Percentages</e1> denote the interest <e2>rate</e2>.
1264,"Entity-Destination(e1,e2)",Comment:,Story,He easily put the <e1>syringe</e1> in a <e2>beaker</e2> of water.
1265,"Entity-Destination(e1,e2)",Comment:,Economic,Amazon put <e1>ads</e1> into Kindle <e2>books</e2>.
1266,"Member-Collection(e2,e1)",Comment:,Education,"In autumn, a <e1>gaggle</e1> of tagged Canada <e2>geese</e2> takes over the waterfront lawn and wild ducks land on the lake."
1267,Other,Comment: Here e2 is more of a single event than a method,Politics,The <e1>president</e1> increased the fleet by the <e2>construction</e2> of one high-class cruiser.
1268,"Member-Collection(e2,e1)",Comment:,Technology,"In preparing this study, the Pew Forum devised a <e1>battery</e1> of <e2>measures</e2>, phrased as questions, to gauge the levels of government and social restrictions on religion in each country."
1269,"Component-Whole(e1,e2)",Comment:,News,"Every couple of seconds, the flame flares up, and sometimes a small fireball detaches itself, float to the <e1>ceiling</e1> of the <e2>oven</e2>."
1270,"Member-Collection(e2,e1)",Comment:,Story,This film was taken by B-17 flight personnel during World War Two as the two German saucers attacked a <e1>squadron</e1> of <e2>bombers</e2>.
1271,"Member-Collection(e1,e2)",Comment:,Education,Each <e1>wolf</e1> in his <e2>pack</e2> plays a character befitting his social status.
1272,"Instrument-Agency(e2,e1)",Comment:,News,The <e1>players</e1> flew to Lexington on a <e2>plane</e2> separate from the team.
1273,"Cause-Effect(e2,e1)",Comment:,News,The patient experiences displaced emotional and financial <e1>deprivation</e1> as well as anger after the <e2>divorce</e2>.
1274,Other,Comment: The brain is the target object of the study that uses technology.,Technology,Now we are beginning to understand how the <e1>brain</e1> works using brain-machine interface <e2>technology</e2>.
1275,Other,Comment: Purpose-Tool,Technology,Regulations limit the use of RFID <e1>technology</e1> for human <e2>tracking</e2>.
1276,Other,Comment:,FirstP,I was a little worried about making an <e1>ascent</e1> of the crux with a <e2>backpack</e2>.
1277,"Message-Topic(e2,e1)",Comment: the Topic of the list is the assists,Art,Kidd passed Jackson on the career <e1>assists</e1> <e2>list</e2> with an alley-oop pass to Rodrigue Beaubois with 10:53 left in the third quarter.
1278,"Content-Container(e1,e2)",Comment:,News,The <e1>body</e1> of a missing Fort Benning soldier was discovered inside a piece of air conditioning <e2>equipment</e2> Friday at a downtown hotel.
1279,"Entity-Origin(e1,e2)",Comment:,Economic,The <e1>rest</e1> was funded from her small family <e2>savings</e2>.
1280,"Component-Whole(e1,e2)",Comment:,Story,"The end of the <e1>rod</e1> of the mute's <e2>spindle</e2> (outside the bassoon) is bent through an angle of 90 degrees, where the communicator-gearing leads up to it."
1281,Other,Comment:,News,<e1>Implementation</e1> of this proposal is being discussed at the state <e2>level</e2>.
1282,"Component-Whole(e1,e2)",Comment:,Story,"When approaching the Observatory, they unlock the <e1>padlock</e1> on the <e2>gate</e2> of the security fence, and entered the Observatory grounds and relock the gate."
1283,Other,Comment: Purpose is a property.,Story,This is based on the notion that a human is basically a <e1>purpose</e1> driven <e2>animal</e2>.
1284,"Instrument-Agency(e1,e2)",Comment:,Story,This orange marigold was the <e1>flower</e1> that <e2>people</e2> used to remember their dead by.
1285,"Entity-Destination(e1,e2)",Comment:,Story,"He stuffed the <e1>letter</e1> into an empty lemonade <e2>bottle</e2>, corked it, tossed it overboard, and forgot."
1286,"Member-Collection(e2,e1)",Comment:,Story,A <e1>huddle</e1> of <e2>photographers</e2> was waiting outside the courtroom.
1287,"Component-Whole(e1,e2)",Comment:,Technology,"In addition, the CPU <e1>bus</e1> of the non-safety <e2>controller</e2> is connected to each safety unit of the safety controller."
1288,"Product-Producer(e2,e1)",Comment: (a) is satisfied,Education,"<e1>Students</e1> and local residents have worked together to produce 10000 <e2>bricks</e2>, and the mason has completed most of the work on the first guest house."
1289,"Message-Topic(e1,e2)",Comment:,Education,This is supplemented by <e1>columns</e1> and articles reflecting on fantasy literature's <e2>past</e2> as well as the occasional interview.
1290,"Content-Container(e1,e2)",Comment: prototypical example,Story,The <e1>charger</e1> was in a <e2>suitcase</e2> that was lost by the airline.
1291,"Entity-Destination(e1,e2)",Comment:,Technology,We have dumped the <e1>spam</e1> into the <e2>junk folder</e2>.
1292,"Instrument-Agency(e2,e1)",Comment:,Art,The <e1>violinist</e1> produces sound by drawing a <e2>bow</e2> across one or more strings (which may be stopped by the fingers of the other hand).
1293,"Cause-Effect(e1,e2)",Comment:,Biology,<e1>Smoke</e1> is one of the leading causes of <e2>kidney failures</e2>.
1294,"Content-Container(e1,e2)",Comment: prototypical example; no movement,Technology,All of the <e1>data</e1> is stored in a Microsoft Access <e2>database</e2>.
1295,"Entity-Destination(e1,e2)",Comment:,Economic,These companies have delivered new <e1>products</e1> or service to their <e2>clients</e2>.
1296,"Cause-Effect(e1,e2)",Comment:,Biology,<e1>Germs</e1> are microscopic organisms that cause sickness or <e2>disease</e2>.
1297,"Message-Topic(e1,e2)",Comment:,Politics,The current <e1>debate</e1> swirling around Leather's <e2>comments</e2> seems to suggest both.
1298,Other,Comment:,FirstP,I have just bought a <e1>silver</e1> <e2>necklace</e2> from a lady who makes her own jewellery with the fingerprints of my children on it.
1299,"Product-Producer(e1,e2)",Comment: (a) is satisfied,Economic,These breakdown products are not only losses of sucrose but also have knock-on effects reducing the final output of processed <e1>sugar</e1> from the <e2>factory</e2>.
1300,"Content-Container(e1,e2)",Comment: prototypical example,Story,"The <e1>flour</e1> was in a <e2>bin</e2> about six feet square, by four feet high, and only a small round hole at the top."
1301,Other,Comment: Material,Education,"The Earth's thin, rocky <e1>crust</e1> is composed of <e2>silicon</e2>, aluminum, calcium, sodium and potassium."
1302,"Entity-Destination(e1,e2)",Comment:,Story,The <e1>sows</e1> were moved into isolated farrowing <e2>houses</e2> at least 5 days before farrowing.
1303,"Instrument-Agency(e2,e1)",Comment:,Art,"MFX colours are implemented at the design stage, where the <e1>designer</e1> creates artwork using the MetalFX colour <e2>palettes</e2> and actions."
1304,"Component-Whole(e1,e2)",Comment:,Chemistry,The horizontal <e1>branch</e1> is a part of the Hertzsprung -Russell (H-R) <e2>diagram</e2> that represents stars that burn helium in thier cores.
1305,"Cause-Effect(e2,e1)",Comment:,Biology,"Yellow <e1>fever</e1> is caused by infection with yellow fever <e2>virus</e2>, which is transmitted by the bite of infected mosquitoes."
1306,"Message-Topic(e1,e2)",Comment:,Art,The painting was one of the first used as a poster in an <e1>advertising campaign</e1> for <e2>soap powder</e2>.
1307,Other,Comment: Purpose-Tool,History,"While making <e1>observations</e1> of the microfossil through the binocular <e2>microscope</e2> or on a computer monitor, the investigator needed to manually move the specimen."
1308,"Product-Producer(e1,e2)",Comment: (a) is satisfied,News,"Cuba is already a customer and now the state development bank, BNDES, plans to finance the export of ethanol knowhow to Africa, where the hopes of countries such as Ghana are pinned on the <e1>jatropha</e1> <e2>plant</e2>."
1309,"Component-Whole(e2,e1)",Comment: In this context it is specified that the components (factors) have a structure and a functional relation to the whole.,News,"The nuclear hormone receptor <e1>superfamily</e1> consists of structurally related, ligand-dependent transcription <e2>factors</e2> and a large number of orphan receptors for which the ligand has not yet been identified."
1310,"Member-Collection(e2,e1)",Comment:,Story,"When a <e1>watch</e1> of <e2>nightingales</e2> is at the height of breeding season, the males serenade their prospective brides with one of the most glorious and celebrated bird songs there is."
1311,"Entity-Destination(e1,e2)",Comment:,News,Pet owners have released <e1>pythons</e1> into the <e2>wild</e2> when they had grown too large for the owners to care for them.
1312,Other,"Comment: A thicket is a pattern, not a set.",History,Biddle has done a thorough job of cutting through the <e1>thicket</e1> of <e2>contradictions</e2> and fantasies that surround the strategic bombing debate from 1914 to 1945.
1313,"Entity-Destination(e1,e2)",Comment:,Economic,Three <e1>houses</e1> are handed over to <e2>beneficiaries</e2>.
1314,"Entity-Origin(e1,e2)",Comment:,History,"The <e1>term</e1> Baroque was derived from a Portuguese <e2>word</e2> meaning a pearl of irregular shape""."""
1315,"Product-Producer(e2,e1)",Comment: (a) is satisfied,News,The former prime minister's <e1>daughter</e1> made numerous offensive <e2>comments</e2> about a French mixed-race tennis player.
1316,"Member-Collection(e2,e1)",Comment: I assume that cattle is plural of cow.,News,"A freight train on the Chicago and Alton Railroad, while approaching this city yesterday morning, dashed into a <e1>drove</e1> of <e2>cattle</e2>, killing three of them."
1317,"Component-Whole(e2,e1)",Comment:,Story,This Italian <e1>dish</e1> is made with gelatinous veal <e2>shanks</e2> that are braised with fresh vegetables and rich stock.
1318,"Member-Collection(e2,e1)",Comment: A collective name.,Technology,Pink Kodiak is coming in like a <e1>rake</e1> of <e2>colts</e2>.
1319,"Member-Collection(e2,e1)",Comment:,History,"On 29 August 1914, C Squadron of the 12th Lancers made a successful charge against a dismounted <e1>squadron</e1> of Prussian <e2>dragoons</e2>."
1320,"Message-Topic(e1,e2)",Comment:,History,This <e1>manuscript</e1> describes two specific <e2>features</e2> that we have found to be effective in generating high quality models.
1321,"Entity-Destination(e1,e2)",Comment:,Story,He put the <e1>card</e1> into his <e2>mobile phone</e2>.
1322,"Entity-Destination(e1,e2)",Comment:,Story,"Joseph Herrin, a dear brother in the Lord, has added <e1>insight</e1> into the <e2>message</e2>."
1323,"Message-Topic(e1,e2)",Comment:,Art,Purely textual <e1>posters</e1> advertised the <e2>plays</e2> of Shakespeare and made citizens aware of government proclamations for centuries.
1324,"Product-Producer(e1,e2)",Comment: The conceptual foundation is a creative work.,Education,"The conceptual <e1>foundation</e1> for creation of the Internet was largely created by three <e2>individuals</e2> and a research conference, each of which changed the way we thought about technology by accurately predicting its future."
1325,"Entity-Destination(e1,e2)",Comment:,Story,"Following the convention's sports theme, we placed a fun <e1>invitation</e1> with an AstroTurf look inside a branded water <e2>bottle</e2>."
1326,"Member-Collection(e2,e1)",Comment:,Story,A <e1>dissimulation</e1> of small <e2>birds</e2> arrived near our place last week and took over our tree outside.
1327,"Cause-Effect(e2,e1)",Comment:,News,"Even though his 16-month old suffered from severe <e1>burns</e1> on her body caused by <e2>boiling water</e2> spilled on her, father refuses to allow ambulance to take his daughter to Hadassah because 'rabbi advised otherwise'."
1328,Other,Comment:,Education,This study presents a comprehensive methodology for calculating the cost to <e1>society</e1> of various criminal <e2>acts</e2>.
1329,"Entity-Destination(e1,e2)",Comment:,News,The launcher released a <e1>satellite</e1> into geosynchronous transfer <e2>orbit</e2> at 23.31 GMT.
1330,"Component-Whole(e1,e2)",Comment:,News,"In Western Australia, the <e1>helve</e1> of the <e2>hatchet</e2> is pointed and the natives, after making the notch, stick the tool in the bark and lift themselves up with it."
1331,"Member-Collection(e2,e1)",Comment:,News,A <e1>wisp</e1> of <e2>snipes</e2> utter their well known cry and scud over the heath; one of these is secured.
1332,Other,Comment: brand is not a tangible object,Story,The fad started when a certain <e1>brand</e1> of socks manufactured by an American <e2>company</e2> became popular among Japanese schoolgirls.
1333,"Message-Topic(e1,e2)",Comment:,Story,In a taped <e1>interview</e1> she recounted two <e2>occasions</e2> on which she had lent money.
1334,"Entity-Destination(e1,e2)",Comment:,Story,An unnamed <e1>lifeguard</e1> was pushed into the <e2>pool</e2>.
1335,"Product-Producer(e2,e1)",Comment: the map is a product of the friend,FirstP,"When we were in junior high school, my <e1>friend</e1> made a <e2>map</e2> of the school lunch tables according to popularity."
1336,Other,Comment:,Story,"After 5 minutes or so, the <e1>problem</e1> went away from an operational <e2>perspective</e2>."
1337,Other,Comment:,Education,"Frazerian theory of <e1>corn</e1> <e2>spirits</e2> and fertility and have thus needed to enquire no further, so their distribution and function remains unclear."
1338,Other,"Comment: the author is the communicator, not the message.",History,The <e1>author</e1> cites the <e2>case</e2> of an American citizen during the general war.
1339,"Component-Whole(e1,e2)",Comment:,History,The <e1>cover</e1> of the <e2>magazine</e2> featured the famous image of Einstein taken in 1947 by American portrait photographer Philippe Halsman.
1340,"Component-Whole(e2,e1)",Comment:,Technology,Two other structures in the depth of the <e1>midbrain</e1> that are important for normal motor function are the red <e2>nucleus</e2> (not visible) and the substantia nigra.
1341,"Entity-Destination(e1,e2)",Comment:,History,"On 8 February 1992, Ulysses reached Jupiter for the gravity-assist manoeuvre that placed the <e1>spacecraft</e1> in a polar <e2>orbit</e2>."
1342,"Component-Whole(e1,e2)",Comment:,Education,"A tealight, or nightlight, is a <e1>candle</e1> used in tea or food <e2>warmers</e2> or (because they last for many hours) as a night light."
